,episode steps,episode reward,accuracy
0,15,-996.0,87.5
1,20,-1000.0,84.62
2,21,-1000.0,78.57
3,22,-999.0,73.33
4,24,-1000.0,70.59
5,25,-986.0,66.67
6,40,-993.0,78.79
7,48,-1000.0,80.49
8,49,-996.0,78.57
9,54,-993.0,78.72
10,62,-1000.0,80.0
11,63,-1000.0,78.57
12,64,-994.0,77.19
13,71,-999.0,78.12
14,73,-1000.0,77.27
15,74,-994.0,76.12
16,81,-996.0,77.03
17,86,-998.0,77.22
18,89,-1000.0,76.83
19,90,-994.0,75.9
20,97,-1000.0,76.67
21,98,-998.0,75.82
22,101,-999.0,75.53
23,103,-999.0,75.0
24,105,-997.0,74.49
25,109,-1000.0,74.51
26,110,-1000.0,73.79
27,111,-994.0,73.08
28,118,-1000.0,73.87
29,119,-1000.0,73.21
30,120,-989.0,72.57
31,132,-993.0,74.4
32,140,-1000.0,75.19
33,141,-998.0,74.63
34,144,-999.0,74.45
35,146,-981.0,74.1
36,166,-991.0,76.73
37,176,-997.0,77.51
38,180,-993.0,77.46
39,188,-977.0,77.9
40,212,-997.0,80.0
41,216,-996.0,79.9
42,221,-1000.0,79.91
43,222,-996.0,79.53
44,227,-996.0,79.55
45,232,-998.0,79.56
46,235,-1000.0,79.39
47,236,-994.0,79.04
48,243,-995.0,79.24
49,249,-1000.0,79.34
50,250,-990.0,79.01
51,261,-993.0,79.53
52,269,-987.0,79.77
53,283,-999.0,80.43
54,285,-999.0,80.22
55,287,-1000.0,80.0
56,288,-987.0,79.72
57,302,-995.0,80.34
58,308,-997.0,80.4
59,312,-980.0,80.33
60,333,-991.0,81.29
61,343,-987.0,81.55
62,357,-997.0,82.0
63,361,-996.0,81.92
64,366,-996.0,81.89
65,371,-996.0,81.87
66,376,-990.0,81.84
67,387,-995.0,82.11
68,393,-995.0,82.12
69,399,-999.0,82.14
70,401,-997.0,81.98
71,405,-998.0,81.91
72,408,-992.0,81.8
73,417,-998.0,81.95
74,420,-1000.0,81.84
75,421,-996.0,81.64
76,426,-985.0,81.62
77,442,-997.0,82.07
78,446,-999.0,82.0
79,448,-998.0,81.86
80,451,-999.0,81.76
81,453,-995.0,81.61
82,459,-999.0,81.64
83,461,-989.0,81.5
84,473,-974.0,81.76
85,500,-997.0,82.56
86,504,-999.0,82.49
87,506,-997.0,82.36
88,510,-991.0,82.31
89,520,-995.0,82.46
90,526,-999.0,82.47
91,528,-999.0,82.34
92,530,-989.0,82.22
93,542,-993.0,82.43
94,550,-989.0,82.5
95,562,-993.0,82.7
96,570,-999.0,82.77
97,572,-974.0,82.65
98,599,-999.0,83.28
99,601,-993.0,83.16
100,609,-1000.0,83.22
101,610,-999.0,83.08
102,612,-999.0,82.98
103,614,-994.0,82.87
104,621,-985.0,82.9
105,637,-992.0,83.17
106,646,-998.0,83.26
107,649,-999.0,83.18
108,651,-999.0,83.07
109,653,-985.0,82.97
110,669,-994.0,83.23
111,676,-996.0,83.26
112,681,-995.0,83.23
113,687,-996.0,83.24
114,692,-997.0,83.21
115,696,-986.0,83.16
116,711,-1000.0,83.38
117,712,-995.0,83.26
118,718,-1000.0,83.26
119,719,-997.0,83.15
120,723,-997.0,83.1
121,727,-1000.0,83.06
122,728,-996.0,82.94
123,733,-994.0,82.92
124,740,-995.0,82.95
125,746,-993.0,82.95
126,754,-984.0,83.0
127,771,-996.0,83.25
128,776,-986.0,83.22
129,791,-998.0,83.42
130,794,-1000.0,83.35
131,795,-1000.0,83.25
132,796,-997.0,83.14
133,800,-995.0,83.1
134,806,-997.0,83.1
135,810,-1000.0,83.06
136,811,-999.0,82.96
137,813,-999.0,82.88
138,815,-981.0,82.8
139,835,-997.0,83.09
140,839,-994.0,83.05
141,846,-995.0,83.08
142,852,-989.0,83.08
143,864,-999.0,83.2
144,866,-993.0,83.12
145,874,-995.0,83.16
146,880,-1000.0,83.16
147,881,-995.0,83.07
148,887,-1000.0,83.07
149,888,-999.0,82.97
150,890,-994.0,82.9
151,897,-976.0,82.92
152,922,-997.0,83.28
153,926,-1000.0,83.24
154,927,-1000.0,83.15
155,928,-1000.0,83.06
156,929,-995.0,82.97
157,935,-997.0,82.97
158,939,-985.0,82.94
159,955,-995.0,83.12
160,961,-1000.0,83.12
161,962,-991.0,83.04
162,972,-987.0,83.11
163,986,-995.0,83.25
164,992,-995.0,83.25
165,998,-994.0,83.25
166,1005,-990.0,83.27
167,1016,-1000.0,83.35
168,1017,-1000.0,83.27
169,1018,-1000.0,83.18
170,1019,-984.0,83.1
171,1036,-990.0,83.28
172,1047,-998.0,83.37
173,1050,-995.0,83.32
174,1056,-996.0,83.32
175,1061,-996.0,83.3
176,1066,-995.0,83.29
177,1072,-991.0,83.29
178,1082,-1000.0,83.35
179,1083,-998.0,83.27
180,1086,-999.0,83.23
181,1088,-996.0,83.16
182,1093,-997.0,83.15
183,1097,-997.0,83.12
184,1101,-989.0,83.09
185,1113,-994.0,83.18
186,1120,-1000.0,83.2
187,1121,-993.0,83.12
188,1129,-993.0,83.16
189,1137,-992.0,83.19
190,1146,-992.0,83.23
191,1155,-996.0,83.28
192,1160,-999.0,83.26
193,1162,-1000.0,83.2
194,1163,-994.0,83.13
195,1170,-997.0,83.15
196,1174,-990.0,83.12
197,1185,-967.0,83.19
198,1219,-998.0,83.58
199,1222,-996.0,83.54
200,1227,-1000.0,83.52
201,1228,-991.0,83.46
202,1238,-997.0,83.51
203,1242,-971.0,83.48
204,1272,-989.0,83.79
205,1284,-997.0,83.87
206,1288,-987.0,83.84
207,1302,-959.0,83.94
208,1344,-993.0,84.37
209,1352,-999.0,84.39
210,1354,-1000.0,84.34
211,1355,-992.0,84.27
212,1364,-994.0,84.3
213,1371,-998.0,84.31
214,1374,-995.0,84.27
215,1380,-993.0,84.27
216,1388,-992.0,84.29
217,1397,-996.0,84.32
218,1402,-999.0,84.3
219,1404,-992.0,84.25
220,1413,-978.0,84.28
221,1436,-970.0,84.46
222,1467,-990.0,84.73
223,1478,-997.0,84.77
224,1482,-989.0,84.75
225,1494,-998.0,84.8
226,1497,-992.0,84.77
227,1506,-999.0,84.79
228,1508,-989.0,84.74
229,1520,-992.0,84.8
230,1529,-997.0,84.82
231,1533,-1000.0,84.8
232,1534,-986.0,84.74
233,1549,-989.0,84.82
234,1561,-994.0,84.88
235,1568,-988.0,84.88
236,1581,-993.0,84.94
237,1589,-996.0,84.96
238,1594,-988.0,84.94
239,1607,-997.0,85.0
240,1611,-995.0,84.98
241,1617,-989.0,84.97
242,1629,-1000.0,85.02
243,1630,-1000.0,84.97
244,1631,-996.0,84.91
245,1636,-996.0,84.9
246,1641,-984.0,84.88
247,1658,-997.0,84.98
248,1662,-993.0,84.95
249,1670,-981.0,84.97
250,1690,-1000.0,85.09
251,1691,-995.0,85.04
252,1697,-996.0,85.03
253,1702,-999.0,85.01
254,1704,-989.0,84.97
255,1716,-998.0,85.02
256,1719,-998.0,84.99
257,1722,-997.0,84.96
258,1726,-999.0,84.93
259,1728,-986.0,84.89
260,1743,-998.0,84.97
261,1746,-988.0,84.93
262,1759,-991.0,84.99
263,1769,-993.0,85.02
264,1777,-1000.0,85.03
265,1778,-999.0,84.98
266,1780,-962.0,84.94
267,1819,-986.0,85.21
268,1834,-988.0,85.28
269,1847,-976.0,85.33
270,1872,-970.0,85.47
271,1903,-996.0,85.65
272,1908,-992.0,85.64
273,1917,-965.0,85.65
274,1953,-973.0,85.87
275,1981,-978.0,86.02
276,2004,-999.0,86.13
277,2006,-994.0,86.09
278,2013,-997.0,86.09
279,2017,-986.0,86.07
280,2032,-996.0,86.12
281,2037,-991.0,86.11
282,2047,-992.0,86.13
283,2056,-995.0,86.14
284,2062,-980.0,86.13
285,2083,-941.0,86.22
286,2143,-989.0,86.56
287,2155,-999.0,86.59
288,2157,-999.0,86.56
289,2159,-998.0,86.52
290,2162,-961.0,86.5
291,2202,-990.0,86.7
292,2213,-945.0,86.72
293,2269,-746.0,87.0
294,2524,-891.0,88.28
295,2634,-908.0,88.73
296,2727,-852.0,89.08
297,2876,-962.0,89.61
298,2915,-997.0,89.72
299,2919,-950.0,89.7
300,2970,-954.0,89.84
301,3017,-992.0,89.97
302,3026,-861.0,89.96
303,3166,-720.0,90.38
304,3447,-1000.0,91.13
305,3448,-712.0,91.11
306,3737,-965.0,91.77
307,3773,-836.0,91.82
308,3938,-972.0,92.14
309,3967,-972.0,92.17
310,3996,-825.0,92.2
311,4172,-308.0,92.51
312,4865,-675.0,93.56
313,5191,-902.0,93.94
314,5290,-680.0,94.04
315,5611,-532.0,94.36
316,6080,-864.0,94.78
317,6217,-984.0,94.88
318,6234,-929.0,94.88
319,6306,-589.0,94.92
320,6718,-408.0,95.22
321,7311,-119.0,95.59
322,8193,-985.0,96.05
323,8209,-683.0,96.05
324,8527,-931.0,96.19
325,8597,-973.0,96.2
326,8625,-732.0,96.21
327,8894,118.0,96.31
328,10013,89.0,96.71
329,11103,-953.0,97.03
330,11151,-177.0,97.03
331,11975,-791.0,97.23
332,12185,-844.0,97.27
333,12342,-823.0,97.29
334,12520,-993.0,97.32
335,12528,-995.0,97.32
336,12534,-859.0,97.31
337,12676,110.0,97.33
338,13787,1819.0,97.54
339,16607,-732.0,97.95
340,16876,-570.0,97.98
341,17307,-61.0,98.02
342,18247,-830.0,98.12
343,18418,-730.0,98.13
344,18689,-836.0,98.15
345,18854,-964.0,98.16
346,18891,-901.0,98.16
347,18991,-265.0,98.17
348,19727,-63.0,98.23
349,20665,152.0,98.31
350,21818,279.0,98.39
351,23098,-984.0,98.48
352,23115,-811.0,98.47
353,23305,-370.0,98.48
354,23936,-853.0,98.52
355,24084,-654.0,98.52
356,24431,-478.0,98.54
357,24954,-665.0,98.56
358,25290,-872.0,98.58
359,25419,-516.0,98.58
360,25904,-710.0,98.61
361,26195,-928.0,98.62
362,26268,-578.0,98.62
363,26691,-921.0,98.64
364,26771,354.0,98.64
365,28126,-70.0,98.7
366,29057,-882.0,98.74
367,29176,191.0,98.74
368,30368,-822.0,98.78
369,30547,-421.0,98.79
370,31127,-174.0,98.81
371,31954,-850.0,98.84
372,32105,1458.0,98.84
373,34564,-823.0,98.92
374,34742,-560.0,98.92
375,35183,-996.0,98.93
376,35188,-996.0,98.93
377,35193,-863.0,98.93
378,35331,-838.0,98.93
379,35494,-939.0,98.93
380,35556,-924.0,98.93
381,35633,-972.0,98.93
382,35662,-950.0,98.93
383,35713,-751.0,98.92
384,35963,-907.0,98.93
385,36057,-1000.0,98.93
386,36058,-852.0,98.93
387,36207,-944.0,98.93
388,36264,898.0,98.93
389,38163,285.0,98.98
390,39449,-924.0,99.01
391,39526,-662.0,99.01
392,39865,-678.0,99.01
393,40188,-916.0,99.02
394,40273,-859.0,99.02
395,40415,-380.0,99.02
396,41036,-968.0,99.03
397,41069,-788.0,99.03
398,41282,-222.0,99.03
399,42061,-929.0,99.05
400,42133,93.0,99.05
401,43227,-717.0,99.07
402,43511,-99.0,99.07
403,44413,-193.0,99.09
404,45221,-439.0,99.1
405,45783,-572.0,99.11
406,46212,258.0,99.12
407,47471,-465.0,99.14
408,48007,153.0,99.15
409,49161,-415.0,99.17
410,49747,631.0,99.17
411,51379,-576.0,99.2
412,51804,-149.0,99.2
413,52656,-778.0,99.21
414,52879,-861.0,99.22
415,53019,-884.0,99.22
416,53136,-496.0,99.22
417,53641,-958.0,99.22
418,53684,810.0,99.22
419,55495,-966.0,99.24
420,55530,-81.0,99.24
421,56450,-508.0,99.25
422,56943,-787.0,99.26
423,57157,-972.0,99.26
424,57186,-803.0,99.26
425,57384,-558.0,99.26
426,57827,-828.0,99.26
427,58000,-743.0,99.26
428,58258,-719.0,99.26
429,58540,-836.0,99.27
430,58705,-976.0,99.27
431,58730,-663.0,99.26
432,59068,-872.0,99.27
433,59197,-718.0,99.27
434,59480,795.0,99.27
435,61276,-893.0,99.29
436,61384,-775.0,99.29
437,61610,-613.0,99.29
438,61998,-1000.0,99.29
439,61999,-996.0,99.29
440,62004,-973.0,99.29
441,62032,-1000.0,99.29
442,62033,91.0,99.29
443,63125,-1000.0,99.3
444,63126,-122.0,99.29
445,64005,-750.0,99.3
446,64256,196.0,99.3
447,65453,187.0,99.32
448,66641,-177.0,99.33
449,67465,-294.0,99.33
450,68172,-822.0,99.34
451,68351,-858.0,99.34
452,68494,-858.0,99.34
453,68637,-308.0,99.34
454,69330,-48.0,99.34
455,70283,-923.0,99.35
456,70361,-422.0,99.35
457,70940,-738.0,99.35
458,71203,-671.0,99.36
459,71533,-854.0,99.36
460,71680,-881.0,99.36
461,71800,-615.0,99.36
462,72186,-987.0,99.36
463,72200,-815.0,99.36
464,72386,-994.0,99.36
465,72393,-565.0,99.36
466,72829,-885.0,99.36
467,72945,729.0,99.36
468,74675,52.0,99.37
469,75728,-511.0,99.38
470,76218,-224.0,99.38
471,76995,-882.0,99.39
472,77114,-673.0,99.39
473,77442,-239.0,99.39
474,78204,-215.0,99.39
475,78990,-916.0,99.4
476,79075,-411.0,99.4
477,79665,-975.0,99.4
478,79691,-689.0,99.4
479,80003,-694.0,99.4
480,80310,-402.0,99.4
481,80909,-723.0,99.4
482,81187,-529.0,99.41
483,81659,-754.0,99.41
484,81906,-999.0,99.41
485,81908,518.0,99.41
486,83427,-454.0,99.42
487,83974,-760.0,99.42
488,84215,-498.0,99.42
489,84718,112.0,99.42
490,85831,-110.0,99.43
491,86722,317.0,99.43
492,88040,-998.0,99.44
493,88043,239.0,99.44
494,89283,-705.0,99.45
495,89579,-468.0,99.45
496,90112,-41.0,99.45
497,91072,219.0,99.45
498,92292,-600.0,99.46
499,92693,-262.0,99.46
500,93432,-930.0,99.46
501,93503,-365.0,99.46
502,94139,0.0,99.47
503,95140,-865.0,99.47
504,95276,-928.0,99.47
505,95349,-964.0,99.47
506,95386,-626.0,99.47
507,95761,-99.0,99.47
508,96663,-893.0,99.47
509,96771,-164.0,99.47
510,97608,-161.0,99.48
511,98448,-544.0,99.48
512,98905,-657.0,99.48
513,99249,-910.0,99.48
514,99340,-800.0,99.48
515,99541,-920.0,99.48
516,99622,-637.0,99.48
517,99986,13.0,99.48
