,step,episode reward,accuracy,100 eps mean,time
0,10.0,9.0,75.0,9.0,0.000000
1,25.0,13.0,83.33,11.0,0.010000
2,35.0,8.0,80.0,10.0,0.920000
3,56.0,19.0,86.21,12.2,2.710000
4,72.0,14.0,86.84,12.6,3.580000
5,94.0,20.0,88.68,13.8,4.830000
6,102.0,6.0,87.04,12.7,5.320000
7,116.0,12.0,86.89,12.6,6.260000
8,138.0,20.0,88.16,13.4,7.830000
9,154.0,14.0,88.24,13.5,8.960000
10,162.0,6.0,87.21,12.8,9.540000
11,171.0,7.0,86.36,12.3,10.180000
12,179.0,6.0,85.39,11.8,10.760000
13,187.0,6.0,84.44,11.4,11.310000
14,199.0,10.0,84.21,11.3,12.160000
15,212.0,11.0,84.16,11.3,13.080000
16,226.0,12.0,84.26,11.4,14.070000
17,234.0,6.0,83.49,11.1,14.650000
18,243.0,7.0,82.88,10.8,15.290000
19,257.0,12.0,83.05,10.9,16.560000
20,267.0,8.0,82.64,10.8,17.310000
21,283.0,14.0,83.08,10.9,18.450000
22,292.0,7.0,82.58,10.7,19.100000
23,307.0,13.0,82.86,10.8,20.180000
24,318.0,9.0,82.64,10.8,21.020000
25,331.0,11.0,82.67,10.8,22.080000
26,340.0,7.0,82.24,10.6,22.720000
27,352.0,10.0,82.17,10.6,23.580000
28,364.0,10.0,82.1,10.6,24.710000
29,389.0,23.0,83.33,11.0,26.500000
30,399.0,8.0,83.06,10.9,27.340000
31,410.0,9.0,82.89,10.8,28.430000
32,419.0,7.0,82.54,10.7,29.080000
33,433.0,12.0,82.65,10.8,30.110000
34,448.0,13.0,82.84,10.8,31.170000
35,460.0,10.0,82.78,10.8,32.030000
36,476.0,14.0,83.03,10.9,33.170000
37,487.0,9.0,82.88,10.8,33.960000
38,498.0,9.0,82.74,10.8,34.840000
39,506.0,6.0,82.38,10.7,35.440000
40,517.0,9.0,82.25,10.6,36.280000
41,526.0,7.0,81.97,10.5,36.980000
42,534.0,6.0,81.62,10.4,37.610000
