,step,episode reward,accuracy,100 eps mean,time
0,15.0,14.0,88.89,14.0,0.010000
1,23.0,6.0,80.0,10.0,0.020000
2,31.0,6.0,72.73,8.7,0.030000
3,42.0,9.0,73.33,8.8,1.580000
4,56.0,12.0,77.27,9.4,2.800000
5,67.0,9.0,76.92,9.3,3.760000
6,75.0,6.0,74.07,8.9,4.450000
7,87.0,10.0,75.0,9.0,5.490000
8,101.0,12.0,76.92,9.3,6.690000
9,115.0,12.0,78.26,9.6,7.910000
10,124.0,7.0,77.08,9.4,8.690000
11,138.0,12.0,78.18,9.6,9.910000
12,149.0,9.0,77.97,9.5,10.910000
13,157.0,6.0,76.67,9.3,11.870000
14,167.0,8.0,76.19,9.2,12.740000
15,193.0,24.0,80.49,10.1,15.000000
16,202.0,7.0,79.76,9.9,15.800000
17,231.0,27.0,83.02,10.9,18.510000
18,239.0,6.0,82.24,10.6,19.380000
19,248.0,7.0,81.65,10.4,20.250000
20,262.0,12.0,81.9,10.5,21.480000
21,272.0,8.0,81.51,10.4,22.590000
22,288.0,14.0,82.03,10.6,24.200000
23,299.0,9.0,81.82,10.5,25.180000
24,307.0,6.0,81.2,10.3,25.880000
25,324.0,15.0,81.82,10.5,27.370000
26,336.0,10.0,81.76,10.5,28.420000
27,345.0,7.0,81.33,10.4,29.290000
28,364.0,17.0,82.1,10.6,31.070000
29,376.0,10.0,82.04,10.6,32.200000
30,384.0,6.0,81.55,10.4,32.950000
31,413.0,27.0,83.16,10.9,35.930000
32,422.0,7.0,82.81,10.8,36.930000
33,436.0,12.0,82.91,10.9,38.590000
34,446.0,8.0,82.67,10.8,39.800000
35,467.0,19.0,83.33,11.0,42.130000
36,488.0,19.0,83.91,11.2,44.770000
37,517.0,27.0,84.92,11.6,48.490000
38,527.0,8.0,84.71,11.5,50.310000
39,535.0,6.0,84.38,11.4,51.830000
40,547.0,10.0,84.29,11.4,53.760000
41,565.0,16.0,84.56,11.5,56.480000
42,575.0,8.0,84.36,11.4,57.820000
43,583.0,6.0,84.06,11.3,58.850000
44,601.0,16.0,84.32,11.4,61.280000
45,617.0,14.0,84.46,11.4,63.690000
46,636.0,17.0,84.74,11.6,67.060000
47,653.0,15.0,84.91,11.6,69.490000
48,668.0,13.0,84.97,11.7,71.750000
49,694.0,24.0,85.51,11.9,75.230000
50,704.0,8.0,85.34,11.8,76.530000
51,715.0,9.0,85.23,11.8,78.230000
52,724.0,7.0,85.03,11.7,79.580000
53,733.0,7.0,84.83,11.6,80.880000
54,745.0,10.0,84.76,11.6,82.420000
55,754.0,7.0,84.57,11.5,83.600000
56,767.0,11.0,84.55,11.5,85.420000
57,790.0,21.0,84.94,11.6,88.840000
58,803.0,11.0,84.91,11.6,90.560000
59,812.0,7.0,84.73,11.6,91.740000
60,841.0,27.0,85.3,11.8,95.970000
61,853.0,10.0,85.24,11.8,97.620000
62,871.0,16.0,85.38,11.8,100.000000
63,895.0,22.0,85.71,12.0,103.720000
64,917.0,20.0,85.96,12.1,106.790000
65,932.0,13.0,85.99,12.1,108.760000
66,942.0,8.0,85.86,12.1,110.270000
67,960.0,16.0,85.98,12.1,113.080000
68,974.0,12.0,85.98,12.1,115.160000
69,992.0,16.0,86.08,12.2,117.820000
70,1006.0,12.0,86.08,12.2,120.550000
71,1033.0,25.0,86.42,12.4,124.230000
72,1043.0,8.0,86.3,12.3,125.760000
73,1075.0,30.0,86.74,12.5,130.440000
74,1083.0,6.0,86.58,12.5,131.490000
75,1110.0,25.0,86.87,12.6,135.750000
76,1140.0,28.0,87.21,12.8,139.880000
77,1164.0,22.0,87.4,12.9,143.850000
78,1173.0,7.0,87.28,12.9,145.190000
79,1198.0,23.0,87.48,13.0,148.800000
80,1233.0,33.0,87.86,13.2,154.210000
81,1245.0,10.0,87.8,13.2,155.940000
82,1262.0,15.0,87.83,13.2,158.490000
83,1270.0,6.0,87.7,13.1,159.740000
84,1282.0,10.0,87.65,13.1,161.690000
85,1293.0,9.0,87.57,13.0,163.260000
86,1302.0,7.0,87.46,13.0,164.500000
87,1312.0,8.0,87.37,12.9,165.970000
88,1325.0,11.0,87.34,12.9,167.980000
89,1371.0,44.0,87.87,13.2,174.730000
90,1392.0,19.0,87.96,13.3,177.880000
91,1403.0,9.0,87.89,13.3,179.400000
92,1412.0,7.0,87.8,13.2,180.650000
93,1447.0,33.0,88.1,13.4,186.410000
94,1456.0,7.0,88.01,13.3,187.970000
95,1471.0,13.0,88.0,13.3,190.090000
96,1480.0,7.0,87.91,13.3,191.330000
97,1494.0,12.0,87.89,13.3,193.680000
98,1510.0,14.0,87.9,13.3,196.700000
99,1518.0,6.0,87.79,13.2,198.020000
100,1535.0,15.0,87.82,13.2,200.800000
101,1543.0,6.0,87.71,13.2,202.010000
102,1563.0,18.0,87.78,13.3,204.860000
103,1585.0,20.0,87.88,13.4,208.450000
104,1622.0,35.0,88.18,13.7,213.820000
105,1632.0,8.0,88.1,13.6,215.490000
106,1651.0,17.0,88.15,13.8,218.370000
107,1679.0,26.0,88.31,13.9,222.580000
108,1742.0,61.0,88.88,14.4,232.340000
109,1755.0,11.0,88.84,14.4,234.190000
110,1794.0,37.0,89.1,14.7,241.090000
111,1822.0,26.0,89.22,14.8,245.020000
112,1836.0,12.0,89.2,14.9,247.250000
113,1864.0,26.0,89.32,15.1,251.320000
114,1915.0,49.0,89.65,15.5,258.780000
115,1975.0,58.0,90.03,15.8,267.470000
116,2032.0,55.0,90.36,16.3,275.700000
117,2067.0,33.0,90.5,16.4,281.220000
118,2118.0,49.0,90.75,16.8,289.070000
119,2130.0,10.0,90.7,16.8,290.920000
120,2149.0,17.0,90.71,16.9,293.820000
121,2177.0,26.0,90.79,17.0,298.180000
122,2202.0,23.0,90.83,17.1,302.160000
123,2216.0,12.0,90.81,17.2,304.460000
124,2248.0,30.0,90.9,17.4,309.510000
125,2339.0,89.0,91.36,18.2,324.790000
126,2357.0,16.0,91.35,18.2,328.010000
127,2443.0,84.0,91.73,19.0,342.420000
128,2468.0,23.0,91.76,19.0,346.200000
129,2488.0,18.0,91.77,19.1,349.200000
130,2531.0,41.0,91.89,19.5,355.990000
131,2729.0,196.0,92.69,21.2,387.440000
132,2799.0,68.0,92.88,21.8,398.980000
133,3041.0,240.0,93.63,24.0,436.350000
134,3216.0,173.0,94.06,25.7,463.490000
135,3306.0,88.0,94.23,26.4,477.190000
136,3561.0,253.0,94.74,28.7,515.760000
137,3682.0,119.0,94.92,29.6,533.940000
138,3798.0,114.0,95.08,30.7,551.610000
139,3871.0,71.0,95.16,31.4,562.920000
140,3988.0,115.0,95.3,32.4,580.940000
141,4050.0,60.0,95.35,32.8,591.210000
142,4089.0,37.0,95.37,33.1,597.330000
143,4154.0,63.0,95.42,33.7,607.190000
144,4324.0,168.0,95.62,35.2,633.050000
145,4452.0,126.0,95.74,36.4,652.520000
146,4460.0,6.0,95.72,36.2,653.790000
147,4496.0,34.0,95.72,36.4,659.300000
148,4563.0,65.0,95.77,37.0,669.630000
149,4731.0,166.0,95.93,38.4,695.030000
150,4755.0,22.0,95.92,38.5,698.710000
151,4940.0,183.0,96.08,40.2,730.470000
152,5051.0,109.0,96.16,41.3,751.180000
153,5069.0,16.0,96.14,41.4,754.090000
154,5161.0,90.0,96.2,42.2,769.380000
155,5182.0,19.0,96.19,42.3,772.910000
156,5205.0,21.0,96.18,42.4,776.450000
157,5415.0,208.0,96.33,44.2,808.370000
158,5439.0,22.0,96.33,44.4,812.180000
159,5466.0,25.0,96.32,44.5,816.610000
160,5521.0,53.0,96.34,44.8,825.220000
161,5559.0,36.0,96.34,45.1,831.180000
162,5583.0,22.0,96.33,45.1,835.070000
163,5608.0,23.0,96.32,45.1,838.930000
164,5617.0,7.0,96.3,45.0,840.300000
165,5678.0,59.0,96.32,45.5,849.610000
166,5751.0,71.0,96.36,46.1,860.620000
167,5771.0,18.0,96.34,46.1,863.640000
168,5838.0,65.0,96.37,46.6,873.760000
169,5868.0,28.0,96.37,46.8,878.230000
170,5877.0,7.0,96.35,46.7,879.610000
171,6090.0,211.0,96.48,48.6,911.440000
172,6111.0,19.0,96.47,48.7,914.580000
173,6211.0,98.0,96.52,49.4,929.700000
174,6282.0,69.0,96.54,50.0,940.330000
175,6346.0,62.0,96.56,50.4,949.990000
176,6505.0,157.0,96.64,51.6,973.750000
177,6624.0,117.0,96.69,52.6,991.570000
178,6634.0,8.0,96.67,52.6,993.130000
179,6780.0,144.0,96.74,53.8,1015.310000
180,6963.0,181.0,96.82,55.3,1042.760000
181,6982.0,17.0,96.81,55.4,1045.580000
182,7191.0,207.0,96.9,57.3,1077.140000
183,7236.0,43.0,96.91,57.7,1083.870000
184,7323.0,85.0,96.93,58.4,1096.930000
185,7340.0,15.0,96.92,58.5,1099.470000
186,7406.0,64.0,96.93,59.0,1109.350000
