,episode steps,episode reward,accuracy
0,20,-80.0,94.44
1,22,-99.0,90.0
2,26,-97.0,87.5
3,33,-94.0,87.1
4,37,-97.0,85.71
5,40,-98.0,84.21
6,49,-92.0,85.11
7,57,-93.0,85.45
8,65,-93.0,85.71
9,70,-96.0,85.29
10,73,-98.0,84.51
11,78,-96.0,84.21
12,85,-94.0,84.34
13,86,-100.0,83.33
14,92,-95.0,83.33
15,94,-99.0,82.61
16,95,-100.0,81.72
17,107,-89.0,82.86
18,117,-91.0,83.48
19,122,-96.0,83.33
20,127,-96.0,83.2
21,128,-100.0,82.54
22,133,-96.0,82.44
23,139,-95.0,82.48
24,162,-78.0,84.38
25,165,-98.0,84.05
26,170,-96.0,83.93
27,173,-98.0,83.63
28,175,-99.0,83.24
29,176,-100.0,82.76
30,179,-98.0,82.49
31,184,-96.0,82.42
32,187,-98.0,82.16
33,193,-95.0,82.2
34,201,-93.0,82.41
35,202,-100.0,82.0
36,209,-94.0,82.13
37,211,-99.0,81.82
38,215,-97.0,81.69
39,220,-96.0,81.65
40,224,-97.0,81.53
41,227,-98.0,81.33
42,232,-96.0,81.3
43,237,-96.0,81.28
44,238,-100.0,80.93
45,246,-93.0,81.15
46,250,-97.0,81.05
47,252,-99.0,80.8
48,253,-100.0,80.48
49,255,-99.0,80.24
50,266,-90.0,80.68
51,269,-98.0,80.52
52,270,-100.0,80.22
53,272,-99.0,80.0
54,273,-100.0,79.7
55,282,-92.0,80.0
56,283,-100.0,79.72
57,285,-99.0,79.51
58,293,-93.0,79.73
59,294,-100.0,79.45
60,298,-97.0,79.39
61,301,-98.0,79.26
62,303,-99.0,79.07
63,316,-88.0,79.62
64,318,-99.0,79.43
65,321,-98.0,79.31
66,346,-76.0,80.52
67,365,-82.0,81.27
68,388,-78.0,82.12
69,399,-90.0,82.37
70,402,-98.0,82.25
71,405,-98.0,82.13
72,407,-99.0,81.98
73,416,-92.0,82.13
74,418,-99.0,81.97
75,425,-94.0,82.03
76,439,-87.0,82.38
77,452,-88.0,82.67
78,478,-75.0,83.4
79,483,-96.0,83.37
80,492,-92.0,83.47
81,501,-92.0,83.57
82,502,-100.0,83.4
83,503,-100.0,83.23
84,514,-90.0,83.4
85,530,-85.0,83.71
86,574,-57.0,84.79
87,583,-92.0,84.85
88,604,-80.0,85.22
89,606,-99.0,85.1
90,626,-81.0,85.42
91,630,-97.0,85.35
92,631,-100.0,85.21
93,661,-71.0,85.74
94,662,-100.0,85.61
95,670,-93.0,85.63
96,672,-99.0,85.52
97,704,-69.0,86.04
98,705,-100.0,85.92
99,710,-96.0,85.88
100,712,-99.0,85.77
101,742,-71.0,86.22
102,746,-97.0,86.16
103,747,-100.0,86.04
104,759,-89.0,86.13
105,763,-97.0,86.07
106,773,-91.0,86.12
107,785,-89.0,86.21
108,800,-86.0,86.34
109,801,-100.0,86.23
110,827,-75.0,86.55
111,867,-61.0,87.05
112,880,-88.0,87.13
113,931,-50.0,87.73
114,933,-99.0,87.65
115,945,-89.0,87.7
116,954,-92.0,87.71
117,979,-76.0,87.92
118,986,-94.0,87.91
119,996,-91.0,87.93
120,999,-98.0,87.86
121,1048,-52.0,88.34
122,1065,-84.0,88.43
123,1070,-96.0,88.39
124,1071,-100.0,88.31
125,1138,-34.0,88.91
126,1155,-84.0,88.99
127,1161,-95.0,88.96
128,1177,-85.0,89.02
129,1188,-90.0,89.04
130,1269,-20.0,89.66
131,1302,-68.0,89.85
132,1365,-38.0,90.24
133,1413,-53.0,90.5
134,1437,-77.0,90.59
135,1442,-96.0,90.56
136,1638,95.0,91.63
137,1639,-100.0,91.57
138,1692,-48.0,91.78
139,1811,18.0,92.26
140,1840,-72.0,92.33
141,1859,-82.0,92.35
142,1898,-62.0,92.46
143,1901,-98.0,92.42
144,1930,-72.0,92.48
145,2117,86.0,93.1
146,2206,-12.0,93.33
147,2227,-80.0,93.35
148,2257,-71.0,93.39
149,2372,14.0,93.67
150,2387,-86.0,93.67
151,2452,-36.0,93.8
152,2557,4.0,94.01
153,2803,145.0,94.5
154,2805,-99.0,94.47
155,2915,9.0,94.64
156,2922,-94.0,94.62
157,3107,84.0,94.91
158,3179,-29.0,95.0
159,3180,-100.0,94.97
160,3238,-43.0,95.02
161,3363,24.0,95.18
162,3366,-98.0,95.15
163,3381,-86.0,95.15
164,3390,-92.0,95.13
165,3505,14.0,95.26
166,3533,-73.0,95.27
167,3597,-37.0,95.33
168,3710,12.0,95.44
169,3717,-94.0,95.42
170,3880,62.0,95.59
171,4086,105.0,95.79
172,4116,-71.0,95.79
173,4150,-67.0,95.81
174,4172,-79.0,95.8
175,4185,-88.0,95.79
176,4278,-8.0,95.86
177,4293,-86.0,95.85
178,4316,-78.0,95.85
179,4360,-57.0,95.87
180,4462,1.0,95.94
181,4749,186.0,96.17
182,4785,-65.0,96.17
183,4786,-100.0,96.15
184,4809,-78.0,96.15
185,4810,-100.0,96.13
186,4869,-42.0,96.16
187,4963,-7.0,96.21
188,5119,55.0,96.31
189,5156,-64.0,96.31
190,5157,-100.0,96.29
191,5158,-100.0,96.28
192,5192,-67.0,96.28
193,5420,127.0,96.42
194,5438,-83.0,96.41
195,5650,111.0,96.53
196,5732,-19.0,96.56
197,5789,-44.0,96.58
198,5793,-97.0,96.56
199,5877,-17.0,96.6
200,5914,-64.0,96.6
201,6004,-11.0,96.63
202,6013,-92.0,96.62
203,6114,0.0,96.66
204,6278,63.0,96.73
205,6279,-100.0,96.72
206,6280,-100.0,96.7
207,6490,109.0,96.79
208,6546,-45.0,96.81
209,6632,-15.0,96.83
210,6675,-58.0,96.84
211,6710,-66.0,96.84
212,6743,-68.0,96.84
213,6778,-66.0,96.84
214,6949,70.0,96.91
215,6953,-97.0,96.89
216,7026,-28.0,96.91
217,7152,25.0,96.95
218,7279,26.0,96.99
219,7286,-94.0,96.98
220,7287,-100.0,96.97
221,7289,-99.0,96.95
222,7333,-57.0,96.96
223,7365,-69.0,96.96
224,7690,224.0,97.07
225,7691,-100.0,97.06
226,7756,-36.0,97.07
227,7764,-93.0,97.06
228,7786,-79.0,97.06
229,7920,33.0,97.1
230,7953,-68.0,97.09
231,8013,-41.0,97.1
232,8029,-85.0,97.1
233,8083,-47.0,97.1
234,8161,-23.0,97.12
235,8212,-50.0,97.13
236,8364,51.0,97.17
237,8439,-26.0,97.18
238,8446,-94.0,97.17
239,8448,-99.0,97.16
240,8470,-79.0,97.15
241,8526,-45.0,97.16
242,8568,-59.0,97.16
243,8576,-93.0,97.15
244,8577,-100.0,97.14
245,8602,-76.0,97.14
246,8681,-22.0,97.15
247,8998,216.0,97.24
248,8999,-100.0,97.23
249,9266,166.0,97.3
250,9462,95.0,97.35
251,9499,-64.0,97.35
252,9507,-93.0,97.34
253,9627,19.0,97.36
254,9645,-83.0,97.36
255,9943,197.0,97.42
256,10054,10.0,97.44
257,10190,35.0,97.47
258,10191,-100.0,97.46
259,10446,154.0,97.51
260,10628,81.0,97.54
261,10638,-91.0,97.54
262,10652,-87.0,97.53
263,10670,-83.0,97.53
264,10677,-94.0,97.52
265,11038,260.0,97.59
266,11055,-84.0,97.58
267,11103,-53.0,97.59
268,11192,-12.0,97.6
269,11219,-74.0,97.59
270,11249,-71.0,97.59
271,11384,34.0,97.61
272,11398,-87.0,97.6
273,11472,-27.0,97.61
274,11491,-82.0,97.61
275,11510,-82.0,97.6
276,11511,-100.0,97.59
277,11544,-68.0,97.59
278,11545,-100.0,97.58
279,11546,-100.0,97.57
280,11547,-100.0,97.57
281,11576,-72.0,97.56
282,11622,-55.0,97.56
283,11639,-84.0,97.56
284,11654,-86.0,97.55
285,11770,15.0,97.57
286,11771,-100.0,97.56
287,11773,-99.0,97.55
288,11838,-36.0,97.56
289,11936,-3.0,97.57
290,11961,-76.0,97.57
291,12057,-5.0,97.58
292,12103,-55.0,97.58
293,12248,44.0,97.6
294,12392,43.0,97.62
295,12393,-100.0,97.61
296,12408,-86.0,97.61
297,12448,-61.0,97.61
298,12504,-45.0,97.61
299,12517,-88.0,97.6
300,12546,-72.0,97.6
301,12579,-68.0,97.6
302,12648,-32.0,97.6
303,12654,-95.0,97.6
304,12779,24.0,97.61
305,13003,123.0,97.65
306,13121,17.0,97.66
307,13234,12.0,97.67
308,13426,91.0,97.7
309,13468,-59.0,97.7
310,13516,-53.0,97.7
311,13667,50.0,97.72
312,13726,-42.0,97.72
313,13783,-44.0,97.72
314,13808,-76.0,97.72
315,14014,105.0,97.74
316,14276,161.0,97.78
317,14410,33.0,97.79
318,14411,-100.0,97.79
319,14430,-82.0,97.78
320,14455,-76.0,97.78
321,14500,-56.0,97.78
322,14535,-66.0,97.78
323,14687,51.0,97.79
324,14782,-6.0,97.8
325,14783,-100.0,97.79
326,14853,-31.0,97.8
327,14854,-100.0,97.79
328,14864,-91.0,97.79
329,14991,26.0,97.8
330,15121,29.0,97.81
331,15139,-83.0,97.81
332,15168,-72.0,97.8
333,15204,-65.0,97.8
334,15288,-17.0,97.81
335,15311,-78.0,97.81
336,15351,-61.0,97.8
337,15386,-66.0,97.8
338,15387,-100.0,97.8
339,15468,-20.0,97.8
340,15469,-100.0,97.8
341,15471,-99.0,97.79
342,16026,454.0,97.86
343,16462,335.0,97.91
344,16687,124.0,97.93
345,16958,170.0,97.96
