Time   Accuracy   LastHitFrame   V value   AvrLoss   
0.01     100.0     1     0     0
0.01     100.0     2     0     0
0.02     100.0     3     0     0
0.03     100.0     4     0     0
0.05     100.0     5     0     0
0.05     100.0     6     0     0
0.06     100.0     7     0     0
0.07     100.0     8     0     0
0.08     0.0     0     0     0
0.09     50.0     1     0     0
0.1     66.67     2     0     0
0.12     50.0     0     0     0
0.12     60.0     1     0     0
0.13     66.67     2     0     0
0.14     71.43     3     0     0
0.15     62.5     0     0     0
0.16     55.56     0     0     0
0.17     60.0     1     0     0
0.19     63.64     2     0     0
0.19     66.67     3     0     0
0.2     69.23     4     0     0
0.22     71.43     5     0     0
0.23     66.67     0     0     0
0.23     68.75     1     0     0
0.24     70.59     2     0     0
0.26     72.22     3     0     0
0.26     73.68     4     0     0
0.27     70.0     0     0     0
0.28     71.43     1     0     0
0.29     72.73     2     0     0
0.3     73.91     3     0     0
0.32     75.0     4     0     0
0.9     76.0     5     0.21     156095.76
0.99     73.08     0     0.57     187338.8
1.08     70.37     0     0.21     249785.82
1.17     71.43     1     1.04     218592.58
1.25     72.41     2     0.41     187335.99
1.33     73.33     3     0.52     218496.17
1.42     74.19     4     0.61     187311.0
1.5     75.0     5     0.56     218461.96
1.59     72.73     0     0.32     249752.95
1.67     70.59     0     0.42     280958.51
1.76     71.43     1     0.69     187179.08
1.84     72.22     2     0.68     187389.74
1.93     72.97     3     1.36     281021.09
2.01     73.68     4     0.28     312128.3
2.1     74.36     5     0.69     187382.79
2.19     72.5     0     1.19     249726.85
2.27     73.17     1     0.45     187173.97
2.35     73.81     2     0.85     280729.49
2.44     74.42     3     0.16     187067.99
2.53     75.0     4     0.51     218155.08
2.61     75.56     5     0.71     218119.98
2.7     76.09     6     1.87     186911.73
2.78     76.6     7     0.49     249224.27
2.87     77.08     8     1.27     249430.93
2.96     77.55     9     0.4     186700.73
3.05     78.0     10     1.52     186647.46
3.13     78.43     11     0.43     93704.99
3.22     78.85     12     1.22     217747.37
3.3     79.25     13     1.29     217822.04
3.39     77.78     0     1.06     155497.09
3.48     78.18     1     1.06     155750.05
3.56     78.57     2     1.57     155423.21
3.65     78.95     3     2.02     279962.35
3.74     79.31     4     2.07     124317.99
3.82     79.66     5     0.66     279714.28
3.91     80.0     6     0.99     124325.88
4.0     80.33     7     2.86     186500.76
4.09     80.65     8     2.31     279632.7
4.17     80.95     9     0.52     217645.48
4.26     81.25     10     1.21     185841.26
4.35     81.54     11     0.78     155357.64
4.43     81.82     12     1.7     217475.35
4.51     82.09     13     0.88     248176.64
4.6     82.35     14     1.74     186008.61
4.69     82.61     15     0.61     124326.91
4.78     82.86     16     0.66     185756.72
4.87     83.1     17     1.45     217036.84
4.95     83.33     18     0.97     154871.38
5.04     83.56     19     1.67     123710.71
5.13     83.78     20     1.17     61721.67
5.21     84.0     21     3.51     217016.21
5.29     84.21     22     0.61     123458.95
5.38     84.42     23     1.3     154346.9
5.46     83.33     0     0.33     123430.19
5.55     82.28     0     0.14     123746.66
5.64     82.5     1     1.38     93595.77
5.73     82.72     2     1.94     185712.3
5.81     81.71     0     1.27     216203.24
5.9     81.93     1     0.77     124147.88
5.99     82.14     2     1.63     92966.51
