,episode steps,episode reward,accuracy
0,9,-991.0,50.0
1,11,-999.0,50.0
2,13,-999.0,50.0
3,16,-998.0,55.56
4,17,-1000.0,50.0
5,18,-1000.0,45.45
6,20,-999.0,46.15
7,24,-997.0,52.94
8,25,-1000.0,50.0
9,27,-999.0,50.0
10,28,-1000.0,47.62
11,46,-983.0,69.23
12,47,-1000.0,67.5
13,49,-999.0,66.67
14,67,-983.0,75.0
15,69,-999.0,74.19
16,71,-999.0,73.44
17,75,-997.0,73.53
18,99,-977.0,79.35
19,120,-980.0,82.3
20,127,-994.0,82.5
21,132,-996.0,82.4
22,140,-993.0,82.71
23,142,-999.0,82.22
24,144,-999.0,81.75
25,151,-994.0,81.94
26,153,-999.0,81.51
27,155,-999.0,81.08
28,161,-995.0,81.17
29,163,-999.0,80.77
30,167,-997.0,80.62
31,183,-985.0,81.82
32,186,-998.0,81.56
33,199,-988.0,82.29
34,202,-998.0,82.05
35,210,-993.0,82.27
36,217,-994.0,82.38
37,222,-996.0,82.33
38,226,-997.0,82.19
39,228,-999.0,81.9
40,229,-1000.0,81.53
41,237,-993.0,81.74
42,238,-1000.0,81.39
43,240,-999.0,81.12
44,247,-994.0,81.25
45,255,-993.0,81.45
46,260,-996.0,81.42
47,264,-997.0,81.32
48,265,-1000.0,81.01
49,276,-990.0,81.41
50,290,-987.0,81.98
51,296,-995.0,82.01
52,298,-999.0,81.79
53,303,-996.0,81.76
54,311,-993.0,81.91
55,317,-995.0,81.94
56,326,-992.0,82.13
57,332,-995.0,82.15
58,335,-998.0,82.01
59,341,-995.0,82.04
60,344,-998.0,81.9
61,349,-996.0,81.87
62,354,-996.0,81.84
63,356,-999.0,81.66
64,370,-987.0,82.09
65,373,-998.0,81.97
66,375,-999.0,81.79
67,402,-974.0,82.78
68,407,-996.0,82.75
69,409,-999.0,82.59
70,439,-971.0,83.56
71,442,-998.0,83.45
72,452,-991.0,83.6
73,458,-995.0,83.59
74,461,-998.0,83.48
75,465,-997.0,83.41
76,471,-995.0,83.41
77,477,-995.0,83.4
78,484,-994.0,83.44
79,486,-999.0,83.3
80,487,-1000.0,83.12
81,490,-998.0,83.02
82,499,-992.0,83.13
83,502,-998.0,83.03
84,504,-999.0,82.9
85,511,-994.0,82.94
86,515,-997.0,82.87
87,519,-997.0,82.81
88,522,-998.0,82.72
89,527,-996.0,82.69
90,535,-993.0,82.77
91,551,-985.0,83.09
92,552,-1000.0,82.94
93,553,-1000.0,82.78
94,555,-999.0,82.66
95,561,-995.0,82.67
96,573,-989.0,82.86
97,575,-999.0,82.75
98,585,-991.0,82.87
99,588,-998.0,82.79
100,590,-999.0,82.68
101,599,-992.0,82.77
102,602,-998.0,82.69
103,603,-1000.0,82.55
104,609,-995.0,82.56
105,619,-991.0,82.68
106,624,-996.0,82.66
107,630,-995.0,82.66
108,632,-999.0,82.56
109,633,-1000.0,82.43
110,643,-991.0,82.55
111,650,-994.0,82.58
112,651,-1000.0,82.45
113,656,-996.0,82.43
114,661,-996.0,82.42
115,665,-997.0,82.37
116,683,-983.0,82.69
117,687,-997.0,82.65
118,694,-994.0,82.68
119,695,-1000.0,82.56
120,700,-996.0,82.54
121,705,-996.0,82.52
122,708,-998.0,82.45
123,710,-999.0,82.36
124,715,-996.0,82.34
125,721,-995.0,82.35
126,740,-982.0,82.67
127,748,-993.0,82.73
128,749,-1000.0,82.61
129,764,-986.0,82.83
130,778,-987.0,83.01
131,779,-1000.0,82.9
132,781,-999.0,82.82
133,783,-999.0,82.73
134,785,-999.0,82.65
135,786,-1000.0,82.54
136,789,-998.0,82.48
137,798,-992.0,82.55
138,802,-997.0,82.52
139,816,-987.0,82.69
140,823,-994.0,82.72
141,830,-994.0,82.75
142,832,-999.0,82.67
143,850,-983.0,82.92
144,852,-999.0,82.84
145,862,-991.0,82.92
146,863,-1000.0,82.83
147,866,-998.0,82.77
148,867,-1000.0,82.67
149,872,-996.0,82.66
150,876,-997.0,82.62
151,879,-998.0,82.57
152,881,-999.0,82.49
153,886,-996.0,82.48
154,893,-994.0,82.51
155,899,-995.0,82.51
156,905,-995.0,82.52
157,915,-991.0,82.6
158,929,-987.0,82.75
159,937,-993.0,82.8
160,940,-998.0,82.74
161,941,-1000.0,82.66
162,943,-999.0,82.59
163,949,-995.0,82.59
164,958,-992.0,82.65
165,963,-996.0,82.64
166,965,-999.0,82.57
167,970,-996.0,82.55
168,971,-1000.0,82.47
169,975,-997.0,82.44
170,985,-991.0,82.52
171,998,-988.0,82.64
172,999,-1000.0,82.56
173,1004,-996.0,82.55
174,1017,-988.0,82.67
175,1029,-989.0,82.78
176,1064,-966.0,83.25
177,1065,-1000.0,83.18
178,1073,-993.0,83.21
179,1090,-984.0,83.38
180,1099,-992.0,83.42
181,1100,-1000.0,83.35
182,1105,-996.0,83.33
183,1112,-994.0,83.35
184,1116,-997.0,83.32
185,1120,-997.0,83.29
186,1126,-995.0,83.29
187,1127,-1000.0,83.21
188,1129,-999.0,83.16
189,1133,-997.0,83.13
190,1140,-994.0,83.14
191,1154,-987.0,83.26
192,1162,-993.0,83.29
193,1167,-996.0,83.28
194,1188,-980.0,83.49
195,1196,-993.0,83.52
196,1205,-992.0,83.56
197,1209,-997.0,83.53
198,1211,-999.0,83.47
199,1231,-981.0,83.66
200,1244,-988.0,83.75
201,1254,-991.0,83.8
202,1256,-999.0,83.75
203,1263,-994.0,83.76
204,1268,-996.0,83.74
205,1282,-987.0,83.84
206,1293,-990.0,83.9
207,1300,-994.0,83.91
208,1305,-996.0,83.9
209,1313,-993.0,83.92
210,1335,-979.0,84.11
211,1341,-995.0,84.11
212,1348,-994.0,84.12
213,1355,-994.0,84.12
214,1358,-998.0,84.09
215,1359,-1000.0,84.02
216,1364,-996.0,84.01
217,1387,-978.0,84.2
218,1396,-992.0,84.23
219,1398,-999.0,84.18
220,1400,-999.0,84.13
221,1408,-993.0,84.15
222,1418,-991.0,84.2
223,1419,-1000.0,84.14
224,1421,-999.0,84.09
225,1431,-991.0,84.13
226,1448,-984.0,84.25
227,1453,-996.0,84.23
228,1457,-997.0,84.21
229,1463,-995.0,84.2
230,1464,-1000.0,84.15
231,1472,-993.0,84.16
232,1481,-992.0,84.19
233,1487,-995.0,84.19
234,1494,-994.0,84.2
235,1508,-987.0,84.28
236,1530,-979.0,84.44
237,1531,-1000.0,84.38
238,1537,-995.0,84.38
239,1549,-989.0,84.44
240,1553,-997.0,84.41
241,1556,-998.0,84.38
242,1557,-1000.0,84.32
243,1558,-1000.0,84.27
244,1559,-1000.0,84.21
245,1566,-994.0,84.22
246,1567,-1000.0,84.17
247,1570,-998.0,84.13
248,1576,-995.0,84.13
249,1577,-1000.0,84.08
250,1583,-995.0,84.07
251,1588,-996.0,84.06
252,1597,-992.0,84.09
253,1598,-1000.0,84.04
254,1599,-1000.0,83.98
255,1605,-995.0,83.98
256,1609,-997.0,83.96
257,1621,-989.0,84.01
258,1637,-985.0,84.11
259,1638,-1000.0,84.06
260,1648,-991.0,84.1
261,1649,-1000.0,84.04
262,1655,-995.0,84.04
263,1663,-993.0,84.06
264,1665,-999.0,84.02
265,1681,-985.0,84.11
266,1690,-992.0,84.14
267,1705,-986.0,84.22
268,1708,-998.0,84.19
269,1711,-998.0,84.15
270,1733,-979.0,84.3
271,1734,-1000.0,84.25
272,1740,-995.0,84.25
273,1742,-999.0,84.21
274,1790,-953.0,84.58
275,1793,-998.0,84.55
276,1818,-976.0,84.7
277,1849,-970.0,84.91
278,1866,-984.0,84.99
279,1869,-998.0,84.96
280,1884,-986.0,85.03
281,1892,-993.0,85.04
282,1913,-980.0,85.15
283,1920,-994.0,85.15
284,1930,-991.0,85.18
285,1962,-969.0,85.37
286,1987,-976.0,85.51
287,1991,-997.0,85.48
288,1995,-997.0,85.46
289,1998,-998.0,85.43
290,2025,-974.0,85.58
291,2030,-996.0,85.57
292,2038,-993.0,85.57
293,2054,-985.0,85.64
294,2077,-978.0,85.75
295,2081,-997.0,85.73
296,2104,-978.0,85.84
297,2112,-993.0,85.84
298,2119,-994.0,85.84
299,2124,-996.0,85.83
300,2135,-990.0,85.86
301,2244,-892.0,86.5
302,2308,-937.0,86.83
303,2315,-994.0,86.83
304,2316,-1000.0,86.79
305,2347,-970.0,86.92
306,2415,-933.0,87.25
307,2447,-969.0,87.38
308,2518,-930.0,87.69
309,2544,-975.0,87.78
310,2610,-935.0,88.05
311,2757,-854.0,88.65
312,2810,-948.0,88.83
313,2825,-986.0,88.86
314,2902,-924.0,89.12
315,2908,-995.0,89.11
316,3261,-648.0,90.26
317,3262,-1000.0,90.23
318,3268,-995.0,90.22
319,3274,-995.0,90.21
320,3275,-1000.0,90.18
321,3551,-725.0,90.91
322,3744,-808.0,91.36
323,3745,-1000.0,91.33
324,4115,-631.0,92.09
325,4138,-978.0,92.11
326,4862,-277.0,93.26
327,5114,-749.0,93.58
328,5737,-378.0,94.26
329,5910,-828.0,94.41
330,6017,-894.0,94.49
331,6140,-878.0,94.59
332,6212,-929.0,94.63
333,6214,-999.0,94.62
334,6394,-821.0,94.75
335,6561,-834.0,94.87
336,6623,-939.0,94.91
337,6773,-851.0,95.0
338,6776,-998.0,94.99
339,6889,-888.0,95.06
340,7085,-805.0,95.18
341,7150,-936.0,95.21
342,7747,-404.0,95.57
343,8000,-748.0,95.7
344,8503,-498.0,95.94
345,8619,-885.0,95.98
346,8631,-989.0,95.98
347,8884,-748.0,96.08
348,9002,-883.0,96.12
349,10407,404.0,96.63
350,10907,-501.0,96.78
351,11616,-292.0,96.97
352,11998,-619.0,97.06
353,12823,-176.0,97.24
354,13604,-220.0,97.39
355,14386,-219.0,97.52
356,14838,-549.0,97.59
357,15594,-245.0,97.7
358,15993,-602.0,97.75
359,16147,-847.0,97.77
360,18396,1248.0,98.04
361,18548,-849.0,98.05
362,18945,-604.0,98.08
363,18962,-984.0,98.08
364,19128,-835.0,98.09
365,19282,-847.0,98.1
366,19336,-947.0,98.1
367,19871,-466.0,98.15
368,20614,-258.0,98.21
369,21402,-213.0,98.27
370,21505,-898.0,98.27
371,22087,-419.0,98.32
372,22391,-697.0,98.33
373,22609,-783.0,98.35
374,23400,-210.0,98.4
375,23659,-742.0,98.41
376,24636,-24.0,98.47
377,25543,-94.0,98.52
378,26352,-192.0,98.56
379,26827,-526.0,98.58
380,27310,-518.0,98.6
381,27913,-398.0,98.63
382,27987,-927.0,98.63
383,29030,42.0,98.68
384,29582,-449.0,98.7
385,30013,-570.0,98.71
386,30056,-958.0,98.71
387,30260,-797.0,98.72
388,30910,-351.0,98.74
389,31281,-630.0,98.75
390,31949,-333.0,98.78
391,32372,-578.0,98.79
392,32526,-847.0,98.79
393,32656,-871.0,98.79
394,33060,-597.0,98.8
395,34032,-29.0,98.84
396,34576,-457.0,98.85
397,36017,440.0,98.89
398,36335,-683.0,98.9
399,36466,-870.0,98.9
400,37126,-341.0,98.92
401,37800,-327.0,98.94
402,38063,-738.0,98.94
403,38598,-466.0,98.95
404,39186,-413.0,98.97
405,39444,-743.0,98.97
406,39615,-830.0,98.97
407,39828,-788.0,98.98
408,40418,-411.0,98.99
409,40912,-507.0,99.0
410,40933,-980.0,99.0
411,40948,-986.0,98.99
412,41618,-331.0,99.01
413,41858,-761.0,99.01
414,43400,541.0,99.04
415,43696,-705.0,99.05
416,44370,-327.0,99.06
417,44380,-991.0,99.06
418,46256,875.0,99.09
419,46559,-698.0,99.1
420,46730,-830.0,99.1
421,47197,-534.0,99.11
422,47824,-374.0,99.12
423,48028,-797.0,99.12
424,48182,-847.0,99.12
425,48196,-987.0,99.12
426,48660,-537.0,99.12
427,49026,-635.0,99.13
428,49296,-731.0,99.13
429,49344,-953.0,99.13
430,49591,-754.0,99.13
431,49729,-863.0,99.13
432,49827,-903.0,99.13
433,49932,-896.0,99.13
434,50953,20.0,99.15
435,52023,69.0,99.16
436,52587,-437.0,99.17
437,52965,-623.0,99.17
438,53180,-786.0,99.17
439,53824,-357.0,99.18
440,54465,-360.0,99.19
441,54962,-504.0,99.2
442,56297,334.0,99.21
443,56462,-836.0,99.21
444,56634,-829.0,99.21
445,56799,-836.0,99.21
446,56924,-876.0,99.21
447,56938,-987.0,99.21
448,58065,126.0,99.23
449,59441,375.0,99.24
450,60437,-5.0,99.25
451,60640,-798.0,99.25
452,60693,-948.0,99.25
453,61318,-376.0,99.26
454,62533,214.0,99.27
455,62834,-700.0,99.27
456,63802,-33.0,99.28
457,64748,-55.0,99.29
458,65084,-665.0,99.29
459,66894,809.0,99.31
460,66906,-989.0,99.31
461,67084,-823.0,99.31
462,67372,-713.0,99.31
463,67439,-934.0,99.31
464,67639,-801.0,99.31
465,67933,-707.0,99.31
466,68164,-770.0,99.31
467,68271,-894.0,99.31
468,69271,-1.0,99.32
469,70440,168.0,99.33
470,70784,-657.0,99.33
471,70949,-836.0,99.33
472,71761,-189.0,99.34
473,72232,-530.0,99.34
474,73842,609.0,99.36
475,73915,-928.0,99.36
476,74600,-316.0,99.36
477,75164,-437.0,99.36
478,75733,-432.0,99.37
479,76005,-729.0,99.37
480,76199,-807.0,99.37
481,76727,-473.0,99.37
482,77024,-704.0,99.37
483,77102,-923.0,99.37
484,78189,86.0,99.38
485,79250,60.0,99.39
486,79853,-398.0,99.39
487,80621,-233.0,99.39
488,80783,-839.0,99.39
489,81426,-358.0,99.4
490,81578,-849.0,99.4
491,81588,-991.0,99.4
492,81647,-942.0,99.4
493,82485,-163.0,99.4
494,82525,-961.0,99.4
495,82592,-934.0,99.4
496,83017,-576.0,99.4
497,83743,-275.0,99.41
498,83964,-780.0,99.41
499,84085,-880.0,99.41
500,85485,399.0,99.41
501,85963,-523.0,99.42
502,86058,-906.0,99.42
503,86441,-618.0,99.42
504,86545,-897.0,99.42
505,86862,-684.0,99.42
506,87638,-225.0,99.42
507,88151,-488.0,99.42
508,89159,7.0,99.43
509,89276,-884.0,99.43
510,92180,1903.0,99.45
511,92210,-971.0,99.44
512,92955,-256.0,99.45
513,93962,6.0,99.45
514,94635,-328.0,99.46
515,95362,-274.0,99.46
516,95633,-730.0,99.46
517,97087,453.0,99.47
518,97097,-991.0,99.47
519,98294,196.0,99.47
520,98635,-660.0,99.47
521,98869,-767.0,99.47
