,step,episode reward,accuracy,100 eps mean,time
0,10.0,9.0,75.0,9.0,0.010000
1,19.0,7.0,66.67,8.0,0.020000
2,27.0,6.0,57.14,7.3,0.030000
3,38.0,9.0,63.64,7.8,1.180000
4,46.0,6.0,58.33,7.4,1.860000
5,83.0,35.0,85.71,12.0,4.990000
6,101.0,16.0,86.79,12.6,6.520000
7,110.0,7.0,85.45,11.9,7.290000
8,119.0,7.0,84.21,11.3,8.060000
9,129.0,8.0,83.33,11.0,8.910000
10,143.0,12.0,83.58,11.1,10.120000
11,153.0,8.0,82.86,10.8,10.970000
12,165.0,10.0,82.67,10.8,11.990000
13,175.0,8.0,82.05,10.6,12.850000
14,183.0,6.0,81.01,10.3,13.540000
15,209.0,24.0,83.67,11.1,15.760000
16,218.0,7.0,83.0,10.9,16.530000
17,229.0,9.0,82.69,10.8,17.470000
18,240.0,9.0,82.41,10.7,18.410000
19,249.0,7.0,81.82,10.5,19.180000
20,260.0,9.0,81.58,10.4,20.120000
21,283.0,21.0,83.08,10.9,22.060000
22,299.0,14.0,83.45,11.0,23.440000
23,307.0,6.0,82.86,10.8,24.140000
24,336.0,27.0,84.57,11.5,27.610000
25,346.0,8.0,84.24,11.3,28.610000
26,355.0,7.0,83.83,11.2,29.410000
27,385.0,28.0,85.26,11.8,31.980000
28,396.0,9.0,85.05,11.7,33.170000
29,406.0,8.0,84.77,11.6,34.350000
30,414.0,6.0,84.34,11.4,35.300000
31,423.0,7.0,84.0,11.2,36.290000
32,431.0,6.0,83.58,11.1,36.980000
33,440.0,7.0,83.25,11.0,37.780000
34,450.0,8.0,83.01,10.9,38.680000
35,465.0,13.0,83.18,10.9,39.990000
36,476.0,9.0,83.03,10.9,40.930000
37,486.0,8.0,82.81,10.8,41.780000
38,494.0,6.0,82.43,10.7,42.440000
39,506.0,10.0,82.38,10.7,43.450000
40,517.0,9.0,82.25,10.6,44.360000
41,525.0,6.0,81.9,10.5,45.060000
42,534.0,7.0,81.62,10.4,45.850000
43,544.0,8.0,81.43,10.4,46.720000
44,552.0,6.0,81.09,10.3,47.400000
45,562.0,8.0,80.91,10.2,48.250000
46,578.0,14.0,81.2,10.3,49.590000
47,589.0,9.0,81.1,10.3,50.510000
48,609.0,18.0,81.65,10.4,52.190000
49,623.0,12.0,81.75,10.5,53.400000
50,631.0,6.0,81.45,10.4,54.080000
51,639.0,6.0,81.16,10.3,54.780000
52,648.0,7.0,80.94,10.2,55.560000
53,671.0,21.0,81.63,10.4,57.500000
54,690.0,17.0,82.03,10.6,59.080000
55,707.0,15.0,82.28,10.6,60.530000
56,716.0,7.0,82.08,10.6,61.320000
57,750.0,32.0,83.19,10.9,64.250000
58,760.0,8.0,83.05,10.9,65.100000
59,769.0,7.0,82.86,10.8,65.880000
60,780.0,9.0,82.77,10.8,66.830000
61,789.0,7.0,82.58,10.7,67.590000
62,797.0,6.0,82.35,10.7,68.280000
63,812.0,13.0,82.47,10.7,69.570000
64,820.0,6.0,82.24,10.6,70.260000
65,828.0,6.0,82.02,10.6,70.960000
66,840.0,10.0,81.99,10.6,72.010000
67,870.0,28.0,82.78,10.8,74.590000
68,881.0,9.0,82.71,10.8,75.530000
69,894.0,11.0,82.72,10.8,76.650000
70,914.0,18.0,83.01,10.9,78.420000
71,923.0,7.0,82.86,10.8,79.200000
72,932.0,7.0,82.7,10.8,79.990000
73,940.0,6.0,82.51,10.7,80.890000
74,967.0,25.0,83.07,10.9,84.500000
75,982.0,13.0,83.15,10.9,86.300000
76,999.0,15.0,83.3,11.0,88.270000
77,1034.0,33.0,84.05,11.3,91.340000
78,1044.0,8.0,83.94,11.2,92.210000
79,1058.0,12.0,83.97,11.2,93.410000
80,1076.0,16.0,84.12,11.3,94.960000
81,1096.0,18.0,84.32,11.4,96.670000
82,1109.0,11.0,84.31,11.4,97.810000
83,1120.0,9.0,84.24,11.3,98.760000
84,1134.0,12.0,84.26,11.4,99.970000
85,1153.0,17.0,84.42,11.4,102.190000
86,1168.0,13.0,84.46,11.4,104.010000
87,1176.0,6.0,84.31,11.4,105.000000
88,1185.0,7.0,84.19,11.3,106.040000
89,1202.0,15.0,84.29,11.4,108.040000
90,1250.0,46.0,85.18,11.7,112.240000
91,1269.0,17.0,85.3,11.8,113.840000
92,1283.0,12.0,85.31,11.8,115.000000
93,1291.0,6.0,85.17,11.7,115.680000
94,1316.0,23.0,85.43,11.9,117.830000
95,1327.0,9.0,85.37,11.8,118.770000
96,1337.0,8.0,85.28,11.8,119.640000
97,1349.0,10.0,85.24,11.8,120.850000
98,1367.0,16.0,85.33,11.8,123.040000
99,1384.0,15.0,85.4,11.8,125.070000
