,step,episode reward,accuracy,100 eps mean,time
0,30.0,29.0,95.83,29.0,0.010000
1,39.0,7.0,92.31,18.0,1.220000
2,75.0,34.0,94.55,23.3,4.720000
3,86.0,9.0,93.22,19.8,5.630000
4,94.0,6.0,91.67,17.0,6.360000
5,111.0,15.0,91.43,16.7,7.720000
6,123.0,10.0,90.67,15.7,8.470000
7,133.0,8.0,89.74,14.8,9.210000
8,148.0,13.0,89.53,14.6,10.510000
9,159.0,9.0,88.89,14.0,11.340000
10,167.0,6.0,87.91,13.3,11.940000
11,180.0,11.0,87.63,13.1,13.090000
12,205.0,23.0,88.7,13.8,15.470000
13,213.0,6.0,87.93,13.3,16.280000
14,231.0,16.0,88.19,13.5,18.000000
15,241.0,8.0,87.69,13.1,18.910000
16,250.0,7.0,87.12,12.8,19.780000
17,262.0,10.0,86.86,12.6,20.820000
18,274.0,10.0,86.62,12.5,21.850000
19,283.0,7.0,86.11,12.2,22.530000
20,299.0,14.0,86.27,12.3,23.650000
21,308.0,7.0,85.81,12.0,24.360000
22,325.0,15.0,86.06,12.2,25.910000
23,334.0,7.0,85.63,12.0,26.800000
24,343.0,7.0,85.21,11.8,27.630000
25,359.0,14.0,85.39,11.8,29.180000
26,370.0,9.0,85.16,11.7,30.140000
27,382.0,10.0,85.03,11.7,31.020000
28,397.0,13.0,85.13,11.7,32.390000
29,406.0,7.0,84.77,11.6,33.170000
30,416.0,8.0,84.5,11.5,34.150000
31,433.0,15.0,84.76,11.6,35.670000
32,452.0,17.0,85.14,11.7,37.360000
33,460.0,6.0,84.75,11.6,38.210000
34,469.0,7.0,84.44,11.4,39.060000
35,478.0,7.0,84.14,11.3,39.900000
36,488.0,8.0,83.91,11.2,40.850000
37,499.0,9.0,83.76,11.2,41.880000
38,511.0,10.0,83.68,11.1,42.930000
39,532.0,19.0,84.19,11.3,44.910000
40,540.0,6.0,83.86,11.2,45.720000
41,552.0,10.0,83.78,11.2,46.800000
42,561.0,7.0,83.52,11.1,47.660000
43,591.0,28.0,84.51,11.5,50.290000
44,599.0,6.0,84.21,11.3,50.980000
45,610.0,9.0,84.08,11.3,52.030000
46,621.0,9.0,83.96,11.2,53.070000
47,639.0,16.0,84.21,11.3,54.800000
48,647.0,6.0,83.93,11.2,55.510000
49,656.0,7.0,83.71,11.1,56.460000
50,668.0,10.0,83.65,11.1,57.540000
51,683.0,13.0,83.75,11.2,58.920000
52,694.0,9.0,83.64,11.1,59.920000
53,705.0,9.0,83.54,11.1,60.920000
54,715.0,8.0,83.38,11.0,61.820000
55,729.0,12.0,83.43,11.0,63.050000
56,744.0,13.0,83.53,11.1,64.500000
57,772.0,26.0,84.2,11.3,66.970000
58,782.0,8.0,84.05,11.3,67.800000
59,790.0,6.0,83.83,11.2,68.580000
60,818.0,26.0,84.44,11.4,71.060000
61,826.0,6.0,84.22,11.3,71.660000
62,842.0,14.0,84.33,11.4,73.010000
63,856.0,12.0,84.35,11.4,74.320000
64,884.0,26.0,84.88,11.6,76.820000
65,898.0,12.0,84.9,11.6,77.940000
66,910.0,10.0,84.84,11.6,78.880000
67,920.0,8.0,84.72,11.5,79.610000
68,933.0,11.0,84.7,11.5,80.710000
69,967.0,32.0,85.36,11.8,83.690000
70,975.0,6.0,85.18,11.7,84.370000
71,985.0,8.0,85.06,11.7,85.270000
72,993.0,6.0,84.89,11.6,85.960000
73,1005.0,10.0,84.84,11.6,87.130000
74,1026.0,19.0,85.06,11.7,89.140000
75,1038.0,10.0,85.01,11.7,90.230000
76,1046.0,6.0,84.84,11.6,90.990000
77,1054.0,6.0,84.68,11.5,91.690000
78,1073.0,17.0,84.84,11.6,93.290000
79,1086.0,11.0,84.82,11.6,94.320000
80,1103.0,15.0,84.92,11.6,95.820000
81,1120.0,15.0,85.01,11.7,97.510000
82,1137.0,15.0,85.1,11.7,98.950000
83,1145.0,6.0,84.95,11.6,99.560000
84,1163.0,16.0,85.06,11.7,101.220000
85,1178.0,13.0,85.1,11.7,102.660000
86,1188.0,8.0,85.0,11.7,103.640000
87,1197.0,7.0,84.88,11.6,104.320000
88,1207.0,8.0,84.79,11.6,105.230000
89,1217.0,8.0,84.69,11.5,106.140000
90,1233.0,14.0,84.76,11.6,107.630000
91,1241.0,6.0,84.62,11.5,108.250000
92,1259.0,16.0,84.73,11.5,109.740000
93,1272.0,11.0,84.72,11.5,110.830000
94,1287.0,13.0,84.75,11.6,112.100000
95,1298.0,9.0,84.69,11.5,113.060000
96,1307.0,7.0,84.58,11.5,113.840000
97,1320.0,11.0,84.57,11.5,115.160000
98,1330.0,8.0,84.48,11.4,115.920000
99,1340.0,8.0,84.4,11.4,116.800000
100,1366.0,24.0,84.7,11.4,119.190000
101,1392.0,24.0,84.98,11.5,121.630000
102,1402.0,8.0,84.9,11.3,122.490000
103,1410.0,6.0,84.77,11.2,123.290000
104,1430.0,18.0,84.91,11.4,125.160000
105,1473.0,41.0,85.52,11.6,129.460000
106,1482.0,7.0,85.42,11.6,130.300000
107,1504.0,20.0,85.58,11.7,132.400000
108,1513.0,7.0,85.49,11.6,133.300000
109,1560.0,45.0,86.09,12.0,137.900000
110,1569.0,7.0,86.0,12.0,138.710000
111,1584.0,13.0,86.02,12.0,140.070000
112,1606.0,20.0,86.15,12.0,141.960000
113,1636.0,28.0,86.41,12.2,144.790000
114,1645.0,7.0,86.33,12.1,145.670000
115,1671.0,24.0,86.51,12.3,147.980000
116,1680.0,7.0,86.43,12.3,148.780000
117,1704.0,22.0,86.58,12.4,151.030000
118,1713.0,7.0,86.49,12.4,151.850000
119,1724.0,9.0,86.44,12.4,152.890000
120,1736.0,10.0,86.4,12.4,153.930000
121,1760.0,22.0,86.55,12.5,156.270000
122,1769.0,7.0,86.47,12.4,157.090000
123,1786.0,15.0,86.51,12.5,158.420000
124,1814.0,26.0,86.7,12.7,160.980000
125,1824.0,8.0,86.64,12.6,162.020000
126,1893.0,67.0,87.36,13.2,168.630000
127,1915.0,20.0,87.45,13.3,170.720000
128,1926.0,9.0,87.4,13.3,171.630000
129,1951.0,23.0,87.52,13.4,173.880000
130,1970.0,17.0,87.57,13.5,175.720000
131,1997.0,25.0,87.71,13.6,178.200000
132,2032.0,33.0,87.93,13.8,181.080000
133,2101.0,67.0,88.49,14.4,186.850000
134,2110.0,7.0,88.42,14.4,187.640000
135,2119.0,7.0,88.36,14.4,188.340000
136,2140.0,19.0,88.41,14.5,190.190000
137,2168.0,26.0,88.53,14.7,192.870000
138,2178.0,8.0,88.47,14.7,193.770000
139,2196.0,16.0,88.5,14.6,195.250000
140,2264.0,66.0,88.97,15.2,200.980000
141,2275.0,9.0,88.92,15.2,202.050000
142,2327.0,50.0,89.22,15.7,206.910000
143,2337.0,8.0,89.17,15.5,207.650000
144,2351.0,12.0,89.15,15.5,208.950000
145,2416.0,63.0,89.53,16.1,214.730000
146,2474.0,56.0,89.83,16.5,220.360000
